"IDRSSD"	RCFDS483	RCFDS484	RCFDS485	RCFDS486	RCFDS487	RCFDS488	RCFDS489	RCFDS490	RCFDS491	RCFDS492	RCFDS493	RCFDS494	RCFDS495	RCFDS496	RCFDS497	RCFDS498	RCFDS499	RCFDS500	RCFDS503	RCFDS504	RCFDS505	RCFDS506	RCFDS507	RCFDS510	RCFDS511	RCFDS512	RCFDS513	RCFDS514	RCFDS515	RCFDS516	RCFDS517	RCFDS518	RCFDS519	RCFDS520	RCFDS521	RCFDS522	RCFDS523	RCFDS524	RCFDS525	RCFDS526	RCFDS527	RCFDS528	RCFDS529	RCFDS530	RCFDS531	RCFDS539	RCFDS540	RCFDS541	RCFDS542	RCFDS543	RCFDS544	RCFDS545	RCFDS546	RCFDS547	RCFDS548	RCFDS549	RCFDS550	RCFDS551	RCFDS552	RCFDS554	RCFDS555	RCFDS556	RCFDS557	RCFDS558	RCFDS559	RCFDS560	RCFDS561	RCFDS562	RCFDS563	RCFDS564	RCFDS565	RCFDS566	RCFDS567	RCFDS568	RCFDS569	RCFDS570	RCFDS571	RCFDS572	RCFDS573	RCFDS574	RCFDS575	RCFDS576	RCFDS577	RCFDS578	RCFDS579	RCFDS580	RCFDS581	RCFDS582	RCFDS583	RCFDS584	RCFDS585	RCFDS586	RCFDS587	RCFDS588	RCFDS589	RCFDS590	RCFDS591	RCFDS592	RCFDS593	RCFDS594	RCFDS595	RCFDS596	RCFDS597	RCFDS598	RCFDS599	RCFDS600	RCFDS601	RCFDS602	RCFDS603	RCFDS604	RCFDS605	RCFDS606	RCFDS607	RCFDS608	RCFDS609	RCFDS610	RCFDS611	RCFDS612	RCFDS613	RCFDS614	RCFDS615	RCFDS616	RCFDS617	RCFDS618	RCFDS619	RCFDS620	RCFDS621	RCFDS622	RCFDS623	RCON2170	RCON3123	RCON3128	RCONA222	RCONB704	RCOND957	RCOND958	RCOND959	RCOND960	RCOND961	RCOND962	RCOND963	RCOND964	RCOND965	RCOND967	RCOND968	RCOND969	RCOND970	RCOND971	RCOND972	RCOND973	RCOND974	RCOND976	RCOND977	RCOND978	RCOND979	RCOND980	RCOND981	RCOND982	RCOND983	RCOND984	RCOND985	RCOND987	RCOND988	RCOND989	RCOND990	RCOND991	RCOND992	RCOND993	RCOND994	RCOND995	RCOND996	RCOND997	RCOND998	RCOND999	RCONG603	RCONG604	RCONG605	RCONG606	RCONG607	RCONG608	RCONG609	RCONG610	RCONG611	RCONG612	RCONG613	RCONG614	RCONG615	RCONG616	RCONG617	RCONG618	RCONG619	RCONG620	RCONG621	RCONG622	RCONG623	RCONG624	RCONG625	RCONG626	RCONG627	RCONG628	RCONG629	RCONG630	RCONG631	RCONG632	RCONG633	RCONG634	RCONG635	RCONG636	RCONG637	RCONG641	RCONG642	RCONH171	RCONH172	RCONH173	RCONH174	RCONH175	RCONH176	RCONH177	RCONH178	RCONH179	RCONH180	RCONH181	RCONH182	RCONH185	RCONH186	RCONH187	RCONH188	RCONH191	RCONH193	RCONH194	RCONH195	RCONH196	RCONH197	RCONH198	RCONH199	RCONH200	RCONH271	RCONH272	RCONH273	RCONH274	
1669																																																																																																																																		431055	5240																																																																																																														
1856																																																																																																																																		53158	389																																																																																																														
2161																																																																																																																																		390282	2968																																																																																																														
2732																																																																																																																																		710635	5182																																																																																																														
2750																																																																																																																																		66000	512	0	0	52944	668	241	428	0	0	0	0	0	0	545	14789	952	0	0	0	0	0	0	0	0	0	0	4915	1	359	4	4551	1021	15576	2272	48680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1021	15576	2272	48680	0	3115	1136	48680	52944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	13	0	0	
3252																																																																																																																																		321111	3619	0	1814	144374	7588	5586	2002	0	0	0	0	0	0	109056	71209	10465	247	0	0	0	0	0	0	0	0	0	6395	571	726	79	5019	117548	77828	10544	122085	10	10	0	0	0	10	446	223	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117548	77828	10544	122318	0	15566	5272	122318	142560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3458																																																																																																																																		77649	598	0	0	52798	7595	7016	579	0	797	0	797	0	0	1182	7670	9110	1203	363	0	363	0	0	0	0	0	0	5258	2442	49	55	2565	10640	9458	22940	36946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10640	9458	22940	38324	0	1892	11470	38324	52798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3720																																																																																																																																		389181	1727																																																																																																														
3971																																																																																																																																		1163708	13182	0	1005	982812	46170	38988	7182	0	0	0	0	0	0	62918	98820	6118	45632	1750	0	1750	0	0	0	0	0	0	65607	521	5030	388	53129	102550	123404	129867	824838	969	969	0	0	0	969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	9	0	101863	50932	0	108	10300	40524	102550	123512	140176	873472	0	24702	70088	873472	981807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4156																																																																																																																																		270387	2612	0	380	195521	5596	3124	2472	0	0	0	0	0	0	5219	44667	6641	2072	9305	0	9305	0	0	0	0	0	0	16533	0	0	0	15403	8343	56444	78833	133837	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19430	9715	0	0	0	9715	8643	56444	78833	144589	0	11289	39417	144589	195141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4231																																																																																																																																		163037	908																																																																																																														
5069																																																																																																																																		562688	13881	0	7547	547224	72357	72147	210	0	0	0	0	0	0	0	0	1530	9672	0	0	0	0	0	0	0	0	0	40494	0	0	0	39588	72147	210	1530	427738	50	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10098	5049	0	0	0	5049	72147	210	1530	434440	0	42	765	434440	539677	0	0	0	0	0	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5135																																																																																																																																		624674	5513																																																																																																														
5210																																																																																																																																		2439995	17162	0	0	1821476	86224	67163	19061	0	64585	0	55965	8620	0	35486	417513	0	19024	0	0	0	0	0	0	0	0	0	205664	0	11583	0	150208	103403	548321	446002	1366220	0	0	0	0	0	0	16702	8351	0	0	0	8351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110443	55222	0	0	0	55222	103403	548321	446002	1479045	0	109664	223001	1479045	1821476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5461																																																																																																																																		796155	6835	0	459	524671	33105	25032	8073	0	232550	6656	241728	2905	0	3706	67584	0	0	0	0	0	0	0	0	0	0	0	32544	48	6058	159	26235	35451	323443	47623	416324	849	849	0	0	0	849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23702	11851	0	0	0	11851	35451	323443	47623	431395	0	64689	23812	431395	524212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5751																																																																																																																																		316432	2631																																																																																																														
6039																																																																																																																																		482993	5263																																																																																																														
6329																																																																																																																																		1879032	23392	0	5862	1499693	142492	133935	8557	0	0	0	0	0	0	0	217808	494	0	1	0	1	0	0	0	0	0	0	91353	0	2196	0	80139	153902	228562	280776	1242427	1556	1556	0	0	0	1556	17030	8515	0	0	0	8515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48377	24189	0	0	0	24189	153902	228562	284625	1293086	0	45712	142313	1293086	1493831	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7009																																																																																																																																		502406	0	0	0	339484	96473	95973	500	0	0	0	0	0	0	27364	52454	320	0	0	0	0	0	0	0	0	0	0	13385	0	0	0	12232	123337	54543	320	323819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123337	54543	797	323819	0	10909	399	323819	339484	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	73	0	0	
7045																																																																																																																																		296529	1120	0	0	138175	25864	25764	100	0	312	0	312	0	0	21524	97099	39154	0	0	0	0	0	0	0	0	0	0	13286	0	669	0	12617	47288	98180	101839	66110	0	0	0	0	0	0	127	64	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47288	98180	101839	66174	0	19636	50920	66174	138175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7072																																																																																																																																		451442	3087	0	0	303954	8624	2526	6098	0	44094	2000	35273	6821	0	0	11113	3308	26755	7688	0	7688	0	0	0	0	0	0	40502	30	2798	747	29697	5042	62970	212490	171818	0	0	0	0	0	0	262	131	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23722	11861	0	0	0	11861	5042	62970	212490	183810	0	12594	106245	183810	303954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7456																																																																																																																																		134966	980	0	0	102956	6388	5428	960	0	0	0	0	0	0	416	24867	8912	0	0	0	0	0	0	0	0	0	0	6000	213	362	56	5369	6057	28043	13346	90564	0	0	0	0	0	0	220	110	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6057	28043	13346	90674	0	5609	6673	90674	102956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7634																																																																																																																																		86642	1359																																																																																																														
8462																																																																																																																																		190423	1952																																																																																																														
8631																																																																																																																																		73711	407																																																																																																														
9357																																																																																																																																		503205	3679																																																																																																														
9553																																																																																																																																		235227	1132	0	0	177380	5927	4568	1359	0	31513	161	29652	1565	205	6438	31290	905	2798	0	0	0	0	0	0	0	0	0	12003	0	3085	0	7863	11167	65569	15616	148160	128	128	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11167	65569	15616	155322	0	13114	7808	155322	177380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
