"IDRSSD"	RCFD3543	RCFD3547	RCFDF240	RCFDF241	RCFDF242	RCFDF252	RCFDF253	RCFDF254	RCFDF261	RCFDF262	RCFDF263	RCFDF585	RCFDF589	RCFDF597	RCFDF601	RCFDF684	RCFDF686	RCFDF689	RCFDF692	RCFDF694	RCFDF697	RCFDG391	RCFDG392	RCFDG395	RCFDG396	RCFDG474	RCFDG475	RCFDG476	RCFDG477	RCFDG478	RCFDG479	RCFDG480	RCFDG481	RCFDG482	RCFDG483	RCFDG484	RCFDG485	RCFDG486	RCFDG487	RCFDG488	RCFDG489	RCFDG490	RCFDG491	RCFDG492	RCFDG493	RCFDG494	RCFDG495	RCFDG496	RCFDG497	RCFDG498	RCFDG499	RCFDG500	RCFDG501	RCFDG502	RCFDG503	RCFDG504	RCFDG505	RCFDG506	RCFDG507	RCFDG508	RCFDG509	RCFDG510	RCFDG511	RCFDG512	RCFDG513	RCFDG514	RCFDG515	RCFDG516	RCFDG517	RCFDG518	RCFDG519	RCFDG520	RCFDG521	RCFDG522	RCFDG523	RCFDG524	RCFDG525	RCFDG526	RCFDG527	RCFDG528	RCFDG529	RCFDG530	RCFDG531	RCFDG532	RCFDG533	RCFDG534	RCFDG535	RCFDG536	RCFDG537	RCFDG538	RCFDG539	RCFDG540	RCFDG541	RCFDG542	RCFDG543	RCFDG544	RCFDG545	RCFDG546	RCFDG547	RCFDG548	RCFDG549	RCFDG550	RCFDG551	RCFDG552	RCFDG553	RCFDG554	RCFDG555	RCFDG556	RCFDG557	RCFDG558	RCFDG559	RCFDG560	RCFDG561	RCFDG562	RCFDG563	RCFDG564	RCFDG565	RCFDG566	RCFDG567	RCFDG568	RCFDG569	RCFDG570	RCFDG571	RCFDG572	RCFDG573	RCFDG574	RCFDG575	RCFDG576	RCFDG577	RCFDG578	RCFDG579	RCFDG580	RCFDG581	RCFDG582	RCFDG583	RCFDG584	RCFDG585	RCFDG586	RCFDG587	RCFDG588	RCFDG589	RCFDG590	RCFDG804	RCFDG805	RCFDG806	RCFDG807	RCFDG808	RCFDG809	RCFDHT87	RCFDHT88	RCFDHT89	RCFDHT91	RCFDHT92	RCFDHT93	RCFDJA36	RCON3543	RCON3547	RCONF240	RCONF241	RCONF242	RCONF252	RCONF253	RCONF254	RCONF261	RCONF262	RCONF263	RCONF585	RCONF589	RCONF597	RCONF601	RCONF684	RCONF686	RCONF689	RCONF692	RCONF694	RCONF697	RCONG391	RCONG392	RCONG395	RCONG396	RCONG474	RCONG475	RCONG476	RCONG477	RCONG483	RCONG484	RCONG485	RCONG486	RCONG487	RCONG488	RCONG489	RCONG490	RCONG491	RCONG492	RCONG493	RCONG494	RCONG495	RCONG496	RCONG497	RCONG498	RCONG499	RCONG500	RCONG501	RCONG502	RCONG503	RCONG504	RCONG505	RCONG506	RCONG512	RCONG513	RCONG514	RCONG515	RCONG516	RCONG517	RCONG518	RCONG519	RCONG520	RCONG531	RCONG532	RCONG533	RCONG534	RCONG535	RCONG536	RCONG537	RCONG538	RCONG539	RCONG540	RCONG541	RCONG542	RCONG543	RCONG544	RCONG545	RCONG546	RCONG547	RCONG548	RCONG549	RCONG550	RCONG551	RCONG552	RCONG553	
12311	570999	653641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592895	743364	0	793441	0	6110737	17947561	3397131	0	0	0	0	0	658837	0	0	658837	0	175204	0	0	115450	59754	464941	0	1032311	3629	0	0	0	0	0	29453364	1208305	6110737	20547600	4003332	0	0	0	0	0	335331	0	985953	3019	62	0	0	62	0	480200	0	0	480200	0	0	0	0	0	0	1192183	877219	0	2066383	3019	542818	0	0	0	542818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58280	541888	0	600168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	542818	58280	541888	0	600168	0	821445	12597	0	819066	12323	0	27455429																																																																																						
12647																																																																																																																																																																																																																																																	
12946																																																																																																																																																																																																																																																	
13103																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		0	0	0	0	0	436654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436654	0	436654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																			
13251																																																																																																																																																																																																																																																	
13457																																																																																																																																																																																																																																																	
14155																																																																																																																																																																																																																																																	
14650																																																																																																																																																																																																																																																	
14753																																																																																																																																																																																																																																																	
14865																																																																																																																																																																																																																																																	
14977																																																																																																																																																																																																																																																	
16551																																																																																																																																																																																																																																																	
17110																																																																																																																																																																																																																																																	
17147																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		87777	0	0	87777	0	0	1615669	3220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1706666	0	0	1703446	3220	0	0	0	0	0	0	0	0	0	87236	0	0	87236	0						87777			87777										
17259																																																																																																																																																																																																																																																	
17950																																																																																																																																																																																																																																																	
17978																																																																																																																																																																																																																																																	
18050																																																																																																																																																																																																																																																	
18827																																																																																																																																																																																																																																																	
18836																																																																																																																																																																																																																																																	
18854																																																																																																																																																																																																																																																	
19356																																																																																																																																																																																																																																																	
19936																																																																																																																																																																																																																																																	
19972																																																																																																																																																																																																																																																	
20053																																																																																																																																																																																																																																																	
20633																																																																																																																																																																																																																																																	
20857																																																																																																																																																																																																																																																	
21256																																																																																																																																																																																																																																																	
21359																																																																																																																																																																																																																																																	
21658																																																																																																																																																																																																																																																	
22048																																																																																																																																																																																																																																																	
22543																																																																																																																																																																																																																																																	
22552																																																																																																																																																																																																																																																	
22730																																																																																																																																																																																																																																																	
23456																																																																																																																																																																																																																																																	
23504																																																																																																																																																												125460	125460	0	0	0	0	0	0				0	0	0	0	0	0		0	0		13209	0	0	13209	0	0	818922	0	0	0	0	0	0	0	0	0	0	0	0	0	125460	0	0	0	0	0	0	957591	0	0	957591	0	0	0	125460	0	0	0	0	0	0	126345	0	0	126345	0						13209			13209										
23643																																																																																																																																																																																																																																																	
23755																																																																																																																																																																																																																																																	
24006																																																																																																																																																																																																																																																	
24378																																																																																																																																																																																																																																																	
24659																																																																																																																																																																																																																																																	
24949																																																																																																																																																																																																																																																	
25357																																																																																																																																																																																																																																																	
25647																																																																																																																																																																																																																																																	
26765																																																																																																																																																																																																																																																	
27070																																																																																																																																																																																																																																																	
27614																																																																																																																																																																																																																																																	
27847																																																																																																																																																																																																																																																	
28013																																																																																																																																																												5035	5036	0	0	0	0	0	0				0	0	0	0	0	0		0	0		0	0	0	0	0	3964	1119439	0	0	0	0	0	0	0	0	0	0	0	0	0	5035	0	12883	0	12883	0	0	1141321	0	16847	1124474	0	0	0	5036	0	0	0	0	0	0	5036	0	0	5036	0																			
28152																																																																																																																																																																																																																																																	
28675																																																																																																																																																																																																																																																	
28732																																																																																																																																																																																																																																																	
29476																																																																																																																																																																																																																																																	
29636																																																																																																																																																																																																																																																	
29878																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		0	0	0	0	0	0	41601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41601	0	0	41601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																			
30052																																																																																																																																																																																																																																																	
30502																																																																																																																																																																																																																																																	
30810	0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		3603	0	0	3603	0	12851938	421765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13277306	0	12851938	425368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11054	0	0	11054	0						3603			3603																						11054			11054																						0	11054	0	0	11054	0	0	0	0	0	0	0	13273703																																																																																						
31134																																																																																																																																																																																																																																																	
31255																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		0	0	0	0	0	0	162672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162672	0	0	162672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																			
31657																																																																																																																																																																																																																																																	
31826																																																																																																																																																																																																																																																	
31835																																																																																																																																																																																																																																																	
32234																																																																																																																																																																																																																																																	
32766																																																																																																																																																																																																																																																	
32971																																																																																																																																																																																																																																																	
33147																																																																																																																																																																																																																																																	
33259																																																																																																																																																																																																																																																	
33370																																																																																																																																																																																																																																																	
33839																																																																																																																																																																																																																																																	
33857																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		0	0	0	0	0	88569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88569	0	88569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																			
34434																																																																																																																																																																																																																																																	
34537																																																																																																																																																												0	0	0	0	0	0	0	0				1635	0	1509	0	0	0		0	0		32670	0	0	32670	0	13654	1967012	0	5975	0	0	5975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019311	0	13654	2005657	0	0	0	0	0	0	0	0	0	0	28273	0	0	28273	0						32670			32670										
34555																																																																																																																																																																																																																																																	
34742																																																																																																																																																																																																																																																	
35057																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		1228	0	0	0	0	0	12992	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14300	0	0	12992	1308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1228				1228														
